,id,v1x,v1y,v2x,v2y,isCorrect
0,0,3280,1952,3256,1976,1
1,0,4048,2400,4048,2528,1
2,0,4048,2400,4048,2528,1
3,0,3600,2976,3472,2976,1
4,0,3600,2976,3472,2976,1
5,0,3024,2528,3024,2400,1
6,0,3024,2528,3024,2400,1
7,0,3472,1952,3600,1952,1
8,0,3472,1952,3600,1952,1
9,0,4048,2719,4048,2608,1
10,0,3056,2176,3024,2207,1
11,0,3472,1952,3376,1952,1
12,69,3344,2400,3472,2272,1
13,69,3600,2272,3728,2400,1
14,0,3672,2584,3664,2592,1
15,0,3672,2584,3664,2592,1
16,4,3472,2656,3344,2528,1
17,0,3472,2272,3472,2240,1
18,10,3600,3056,3472,3056,1
19,10,3600,3056,3472,3056,1
20,0,3600,3056,3600,3008,1
21,0,3600,3056,3600,3008,1
22,0,4128,2400,4080,2400,1
23,0,4128,2400,4080,2400,1
24,11,4128,2400,4128,2528,1
25,11,4128,2400,4128,2528,1
26,12,3472,1872,3600,1872,1
27,12,3472,1872,3600,1872,1
28,0,3472,1872,3472,1920,1
29,0,3472,1872,3472,1920,1
30,0,2944,2528,2992,2528,1
31,0,2944,2528,2992,2528,1
32,9,2944,2528,2944,2400,1
33,9,2944,2528,2944,2400,1
34,0,3472,3056,3472,3088,1
35,0,3472,3056,3472,3088,1
36,0,3472,3056,3472,3088,1
37,0,3600,3088,3600,3056,1
38,10,3600,3088,3472,3088,1
39,10,3600,3088,3472,3088,1
40,10,3600,3088,3472,3088,1
41,9,2912,2528,2912,2400,1
42,9,2912,2528,2912,2400,1
43,0,2912,2528,2944,2528,1
44,0,2944,2400,2912,2400,1
45,0,2944,2400,2912,2400,1
46,0,3600,1872,3600,1840,1
47,0,3600,1872,3600,1840,1
48,0,3472,1840,3472,1872,1
49,12,3472,1840,3600,1840,1
50,12,3472,1840,3600,1840,1
51,11,4160,2400,4160,2528,1
52,11,4160,2400,4160,2528,1
53,11,4160,2400,4160,2528,1
54,0,4160,2400,4128,2400,1
55,0,4128,2528,4160,2528,1
56,0,4128,2528,4160,2528,1
57,0,4128,2528,4160,2528,1
58,0,4160,2528,4144,2768,1
59,0,2912,2400,2928,2160,1
60,0,3600,1840,3840,1856,1
61,0,3840,1856,3952,1968,1
62,0,3840,1856,3952,1968,1
63,0,3232,1856,3472,1840,1
